Binomial_ID,Language,A_en,B_en,A_zh,B_zh,A_B_count,B_A_count,Order_preference
1,zh,love,hate,爱,恨,,,
2,zh,sun,moon,日,月,,,
3,zh,men,women,男,女,,,
4,zh,wind,rain,风,雨,,,
5,zh,birth,death,生,死,,,
6,zh,east,west,东,西,,,
7,zh,push,pull,推,拉,,,
8,zh,up,down,上,下,,,
9,zh,iron,steel,铁,钢,,,
10,zh,day,night,日,夜,,,
11,zh,fire,water,火,水,,,
12,zh,rich,poor,富,贫,,,
13,zh,young,old,少,老,,,
14,zh,war,peace,战争,和平,,,
15,zh,hot,cold,热,冷,,,
16,zh,north,south,北,南,,,
17,zh,truth,lies,真相,谎言,,,
18,zh,body,soul,身体,灵魂,,,
19,zh,time,space,时,空,,,
20,zh,cat,mouse,猫,老鼠,,,
21,zh,health,illness,健康,疾病,,,
22,zh,in,out,入,出,,,
23,zh,students,teachers,生,师,,,
24,zh,eat,drink,食,饮,,,
25,zh,fruit,vegetable,水果,蔬菜,,,
26,zh,tea,coffee,茶,咖啡,,,
27,zh,black,white,黑,白,,,
28,zh,mom,dad,妈,爸,,,
29,zh,left,right,左,右,,,
30,zh,friends,enemies,友,敌,,,
31,zh,pen,paper,笔,纸,,,
32,zh,red,black,红,黑,,,
33,zh,family,friends,亲,友,,,
34,zh,song,dance,歌,舞,,,
35,zh,buy,sell,买,卖,,,
36,zh,king,queen,国王,王后,,,
37,zh,sweet,sour,甜,酸,,,
38,zh,more,less,多,少,,,
39,zh,sooner,later,早,迟,,,
40,zh,host,guest,主,客,,,
41,zh,hunger,thirst,饥,渴,,,
42,zh,urban,rural,城,乡,,,
43,zh,life,work,生活,工作,,,
44,zh,law,order,治,安,,,
45,zh,old,new,老,新,,,
46,zh,eye,ear,目,耳,,,
47,zh,major,minor,主,次,,,
48,zh,ice,fire,冰,火,,,
49,zh,supply,demand,供,需,,,
50,zh,husband,wife,夫,妇,,,
51,zh,parents,children,亲,子,,,
52,zh,profit,loss,盈,亏,,,
53,zh,needle,thread,针,线,,,
54,zh,virtue,vice,善,恶,,,
55,zh,word,deed,言,行,,,
56,zh,church,state,教,政,,,
57,zh,angel,demon,天使,恶魔,,,
58,zh,win,lose,赢,输,,,
59,zh,thunder,lightning,雷,电,,,
60,zh,domestic,foreign,国内,国外,,,
61,zh,near,far,近,远,,,
62,zh,flesh,blood,肉,血,,,
63,zh,sea,sky,海,天,,,
64,zh,cheap,expensive,便宜,昂贵,,,
65,zh,oil,gas,油,气,,,
66,zh,teach,learn,教,学,,,
67,zh,rise,fall,起,落,,,
68,zh,cause,effect,因,果,,,
69,zh,laugh,cry,笑,哭,,,
70,zh,heaven,earth,天,地,,,
71,zh,right,wrong,是,非,,,
72,zh,long,short,长,短,,,
73,zh,permitted,forbidden,可,否,,,
74,zh,come,go,来,去,,,
75,zh,sweet,bitter,甜,苦,,,
