Binomial_ID,Language,A_en,B_en,A_ar,B_ar,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,ar,love,hate,الحب,الكره,1303,112,الحب والكره,و_attached,0.9206,weak
2,ar,sun,moon,الشمس,القمر,15495,1616,الشمس والقمر,و_attached,0.9055,strong
3,ar,man,woman,رجل,امرأة,16183,2608,رجل وامرأة,و_attached,0.8612,strong
4,ar,wind,rain,الرياح,الأمطار,820,804,الرياح والأمطار,و_attached,0.5049,weak
5,ar,birth,death,حياة,موت,20226,7318,حياة وموت,و_attached,0.7343,strong
6,ar,east,west,الشرق,الغرب,34655,8069,الشرق والغرب,و_attached,0.8111,strong
7,ar,push,pull,دفع,سحب,471,289,دفع وسحب,و_attached,0.6196,weak
8,ar,up,down,فوق,تحت,4526,860,فوق وتحت,و_attached,0.8403,medium
9,ar,iron,steel,الحديد,الصلب,12552,370,الحديد والصلب,و_attached,0.9713,strong
10,ar,day,night,نهار,ليل,5383,72590,ليل نهار,,0.069,strong
11,ar,fire,water,النار,الماء,629,1860,الماء والنار,و_attached,0.2528,medium
12,ar,rich,poor,غني,فقير,4875,1543,غني وفقير,و_attached,0.7595,medium
13,ar,young,old,الشباب,الكبار,1165,700,الشباب والكبار,و_attached,0.6246,weak
14,ar,war,peace,الحرب,السلم,4767,4189,الحرب والسلم,و_attached,0.5323,medium
15,ar,hot,cold,الساخنة,الباردة,1988,1497,الساخنة والباردة,و_attached,0.5704,medium
16,ar,north,south,الشمال,الجنوب,29195,7107,الشمال والجنوب,و_attached,0.8042,strong
17,ar,truth,lies,صدق,كذب,3194,386,صدق وكذب,و_attached,0.8921,medium
18,ar,body,soul,الجسد,الروح,2568,4471,الروح والجسد,و_attached,0.3648,medium
19,ar,time,space,الزمان,المكان,37084,14950,الزمان والمكان,و_attached,0.7127,strong
20,ar,cat,mouse,القط,الفأر,1616,67,القط والفأر,و_attached,0.9599,weak
21,ar,health,illness,الصحة,المرض,1739,243,الصحة والمرض,و_attached,0.8772,medium
22,ar,in,out,دخل,خرج,901,160,دخل وخرج,و_attached,0.8489,weak
23,ar,students,teachers,الطلاب,المعلمين,6835,4507,الطلاب والمعلمين,و_attached,0.6026,strong
24,ar,eat,drink,أكل,شرب,17782,468,أكل وشرب,و_attached,0.9743,strong
25,ar,fruit,vegetable,فواكه,خضروات,10854,9437,فواكه وخضروات,و_attached,0.5349,strong
26,ar,tea,coffee,الشاي,القهوة,8882,8261,الشاي والقهوة,و_attached,0.5181,strong
27,ar,black,white,أسود,أبيض,5608,15101,أبيض وأسود,و_attached,0.2708,strong
28,ar,mom,dad,الأم,الأب,7538,18735,الأب والأم,و_attached,0.2869,strong
29,ar,left,right,اليسار,اليمين,3300,8811,اليمين واليسار,و_attached,0.2725,strong
30,ar,friends,enemies,الأصدقاء,الأعداء,894,530,الأصدقاء والأعداء,و_attached,0.6277,weak
31,ar,pen,paper,القلم,الورق,299,251,القلم والورق,و_attached,0.5436,weak
32,ar,red,black,الأحمر,الأسود,2230,1202,الأحمر والأسود,و_attached,0.6497,medium
33,ar,family,friends,العائلة,الأصدقاء,7306,3420,العائلة والأصدقاء,و_attached,0.6811,strong
34,ar,song,dance,الغناء,الرقص,2248,2246,الغناء والرقص,و_attached,0.5002,medium
35,ar,buy,sell,الشراء,البيع,5372,33361,البيع والشراء,و_attached,0.1387,strong
36,ar,king,queen,الملك,الملكة,1342,80,الملك والملكة,و_attached,0.9434,weak
37,ar,sweet,sour,الحلو,الحامض,226,74,الحلو والحامض,و_attached,0.7525,weak
38,ar,more,less,أكثر,أقل,4362,4923,أقل او أكثر,او,0.4698,strong
39,ar,sooner,later,عاجلاً,آجلاً,2209,407,عاجلاً او آجلاً,او,0.8443,medium
40,ar,host,guest,المضيف,الضيف,70,226,الضيف والمضيف,و_attached,0.2374,weak
41,ar,hunger,thirst,الجوع,العطش,6340,875,الجوع والعطش,و_attached,0.8787,medium
42,ar,urban,rural,الحضر,الريف,643,1434,الريف والحضر,و_attached,0.3097,medium
43,ar,life,work,الحياة,العمل,2829,4606,العمل والحياة,و_attached,0.3805,medium
44,ar,law,order,القانون,النظام,6111,10519,النظام والقانون,و_attached,0.3675,strong
45,ar,old,new,القديم,الجديد,12644,2972,القديم والجديد,و_attached,0.8097,strong
46,ar,eye,ear,العين,الأذن,1075,299,العين والأذن,و_attached,0.7822,weak
47,ar,major,minor,الكبرى,الصغرى,3111,1923,الكبرى والصغرى,و_attached,0.618,medium
48,ar,ice,fire,الجليد,النار,440,76,الجليد والنار,و_attached,0.852,weak
49,ar,supply,demand,العرض,الطلب,30531,2207,العرض والطلب,و_attached,0.9326,strong
50,ar,husband,wife,الزوج,الزوجة,16297,1593,الزوج والزوجة,و_attached,0.9109,strong
51,ar,parents,children,الآباء,الأبناء,3727,691,الآباء والأبناء,و_attached,0.8435,medium
52,ar,profit,loss,الربح,الخسارة,8161,373,الربح والخسارة,و_attached,0.9562,medium
53,ar,needle,thread,الإبرة,الخيط,144,77,الإبرة والخيط,و_attached,0.6509,weak
54,ar,virtue,vice,الفضيلة,الرذيلة,462,68,الفضيلة والرذيلة,و_attached,0.871,weak
55,ar,word,deed,القول,الفعل,5379,909,القول والفعل,و_attached,0.8554,medium
56,ar,church,state,الكنيسة,الدولة,1658,740,الكنيسة والدولة,و_attached,0.6913,medium
57,ar,angel,demon,الملائكة,الشياطين,576,109,الملائكة والشياطين,و_attached,0.8404,weak
58,ar,win,lose,النصر,الهزيمة,1246,205,النصر والهزيمة,و_attached,0.8585,weak
59,ar,thunder,lightning,الرعد,البرق,862,1115,البرق والرعد,و_attached,0.436,weak
60,ar,domestic,foreign,المحلي,الأجنبي,2788,509,المحلي والأجنبي,و_attached,0.8455,medium
61,ar,near,far,القريب,البعيد,13056,2714,القريب والبعيد,و_attached,0.8279,strong
62,ar,flesh,blood,اللحم,الدم,1251,245,اللحم والدم,و_attached,0.836,weak
63,ar,sea,sky,البحر,السماء,442,355,البحر والسماء,و_attached,0.5545,weak
64,ar,cheap,expensive,الرخيص,الغالي,122,1933,الغالي والرخيص,و_attached,0.0596,medium
65,ar,oil,gas,النفط,الغاز,81097,5691,النفط والغاز,و_attached,0.9344,strong
66,ar,teach,learn,التعليم,التعلم,11797,4428,التعليم والتعلم,و_attached,0.7271,strong
67,ar,rise,fall,الارتفاع,الانخفاض,2724,390,الارتفاع والانخفاض,و_attached,0.8746,medium
68,ar,cause,effect,السبب,النتيجة,2036,62,السبب والنتيجة,و_attached,0.9702,medium
69,ar,laugh,cry,أضحك,أبكى,269,20,أضحك وأبكى,و_attached,0.9293,weak
70,ar,heaven,earth,السّماء,الأرض,199,83,السّماء والأرض,و_attached,0.7049,weak
71,ar,right,wrong,الصواب,الخطأ,5256,3870,الصواب والخطأ,و_attached,0.5759,medium
72,ar,long,short,طويل,قصير,2395,3052,قصير وطويل,و_attached,0.4397,medium
73,ar,permitted,forbidden,المسموح,الممنوع,597,204,المسموح والممنوع,و_attached,0.745,weak
74,ar,come,go,يأتي,يذهب,554,259,يأتي ويذهب,و_attached,0.6812,weak
75,ar,sweet,bitter,الحلو,المر,875,145,الحلو والمر,و_attached,0.8575,weak
