Binomial_ID,Language,A_en,B_en,A_de,B_de,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,de,love,hate,Liebe,Hass,3755,1006,Liebe und Hass,und,0.7886,weak
2,de,sun,moon,Sonne,Mond,10054,1662,Sonne und Mond,und,0.8581,medium
3,de,men,women,Mann,Frau,203397,155195,Mann und Frau,und,0.5672,strong
4,de,wind,rain,Wind,Regen,8844,5036,Wind und Regen,und,0.6372,medium
5,de,birth,death,Geburt,Tod,5786,428,Geburt und Tod,und,0.9311,medium
6,de,east,west,Ost,West,35342,5786,Ost und West,und,0.8593,strong
7,de,push,pull,drücken,ziehen,1219,911,drücken und ziehen,und,0.5723,weak
8,de,up,down,oben,unten,55114,6185,oben und unten,und,0.8991,strong
9,de,iron,steel,Eisen,Stahl,3566,956,Eisen und Stahl,und,0.7885,weak
10,de,day,night,Tag,Nacht,78234,2010,Tag und Nacht,und,0.9749,strong
11,de,fire,water,Feuer,Wasser,4536,1393,Feuer und Wasser,und,0.765,weak
12,de,rich,poor,reich,arm,6978,25883,arm und reich,und,0.2124,strong
13,de,young,old,jung,alt,112025,26213,jung und alt,und,0.8104,strong
14,de,war,peace,Krieg,Frieden,17153,910,Krieg und Frieden,und,0.9496,medium
15,de,hot,cold,heiß,kalt,10279,3045,heiß und kalt,und,0.7714,medium
16,de,north,south,Norden,Süden,10068,2723,Norden und Süden,und,0.7871,medium
17,de,truth,lies,Wahrheit,Lügen,312,178,Wahrheit und Lügen,und,0.6365,weak
18,de,body,soul,Körper,Seele,20765,3005,Körper und Seele,und,0.8736,medium
19,de,time,space,Zeit,Raum,24839,40939,Raum und Zeit,und,0.3776,strong
20,de,cat,mouse,Katze,Maus,715,135,Katze und Maus,und,0.8408,weak
21,de,health,illness,Gesundheit,Krankheit,6475,1663,Gesundheit und Krankheit,und,0.7956,medium
22,de,in,out,in,aus,10216,11328,aus und in,und,0.4742,medium
23,de,students,teachers,Studenten,Lehrer,657,683,Lehrer und Studenten,und,0.4903,weak
24,de,eat,drink,essen,trinken,81619,3920,essen und trinken,und,0.9542,strong
25,de,fruit,vegetable,Obst,Gemüse,102007,19134,Obst und Gemüse,und,0.842,strong
26,de,tea,coffee,Tee,Kaffee,9987,19713,Kaffee oder Tee,oder,0.3363,strong
27,de,black,white,schwarz,weiß,43145,18113,schwarz und weiß,und,0.7043,strong
28,de,mom,dad,Mama,Papa,28291,3091,Mama und Papa,und,0.9015,strong
29,de,left,right,links,rechts,112033,70878,links und rechts,und,0.6125,strong
30,de,friends,enemies,Freunde,Feinde,2050,239,Freunde und Feinde,und,0.8954,weak
31,de,pen,paper,Stift,Papier,5400,2926,Stift und Papier,und,0.6486,medium
32,de,red,black,rot,schwarz,12286,6879,rot und schwarz,und,0.6411,medium
33,de,family,friends,Familie,Freunde,31423,20892,Familie und Freunde,und,0.6006,strong
34,de,song,dance,Lied,Tanz,1915,591,Lied und Tanz,und,0.7641,weak
35,de,buy,sell,kaufen,verkaufen,26071,2815,kaufen und verkaufen,und,0.9025,strong
36,de,king,queen,König,Königin,3027,1137,König und Königin,und,0.7269,weak
37,de,sweet,sour,süß,sauer,2141,388,süß und sauer,und,0.8464,weak
38,de,more,less,mehr,weniger,421531,2624,mehr oder weniger,oder,0.9938,strong
39,de,sooner,later,früher,später,108579,255,früher oder später,oder,0.9977,strong
40,de,host,guest,Gastgeber,Gast,937,1382,Gast und Gastgeber,und,0.4041,weak
41,de,hunger,thirst,Hunger,Durst,8222,1118,Hunger und Durst,und,0.8803,medium
42,de,urban,rural,städtisch,ländlich,3210,1600,städtisch und ländlich,und,0.6673,weak
43,de,life,work,Leben,Arbeit,13773,8492,Leben und Arbeit,und,0.6186,medium
44,de,law,order,Gesetz,Ordnung,1259,287,Gesetz und Ordnung,und,0.8142,weak
45,de,old,new,alt,neu,80797,18630,alt und neu,und,0.8126,strong
46,de,eye,ear,Auge,Ohr,19027,2709,Auge und Ohr,und,0.8754,medium
47,de,major,minor,wichtig,unwichtig,2068,46,wichtig und unwichtig,und,0.978,weak
48,de,ice,fire,Eis,Feuer,3221,3139,Eis und Feuer,und,0.5064,medium
49,de,supply,demand,Angebot,Nachfrage,28978,1607,Angebot und Nachfrage,und,0.9474,strong
50,de,husband,wife,Ehemann,Ehefrau,2305,410,Ehemann und Ehefrau,und,0.8489,weak
51,de,parents,children,Eltern,Kinder,24782,18274,Eltern und Kinder,und,0.5756,strong
52,de,profit,loss,Gewinn,Verlust,11294,965,Gewinn und Verlust,und,0.9212,medium
53,de,needle,thread,Nadel,Faden,3973,121,Nadel und Faden,und,0.9703,weak
54,de,virtue,vice,Tugend,Laster,886,259,Tugend und Laster,und,0.7736,weak
55,de,word,deed,Wort,Tat,12576,1104,Wort und Tat,und,0.9193,medium
56,de,church,state,Kirche,Staat,10396,11263,Staat und Kirche,und,0.48,medium
57,de,angel,demon,Engel,Dämon,1279,303,Engel und Dämon,und,0.8083,weak
58,de,win,lose,gewinnen,verlieren,6225,918,gewinnen oder verlieren,oder,0.8714,medium
