Binomial_ID,Language,A_en,B_en,A_ar,B_ar,A_B_count,B_A_count,Order_preference
1,ar,love,hate,الحب,الكره,,,
2,ar,sun,moon,الشمس,القمر,,,
3,ar,man,woman,رجل,امرأة,,,
4,ar,wind,rain,الرياح,الأمطار,,,
5,ar,birth,death,حياة,موت,,,
6,ar,east,west,الشرق,الغرب,,,
7,ar,push,pull,دفع,سحب,,,
8,ar,up,down,فوق,تحت,,,
9,ar,iron,steel,الحديد,الصلب,,,
10,ar,day,night,نهار,ليل,,,
11,ar,fire,water,النار,الماء,,,
12,ar,rich,poor,غني,فقير,,,
13,ar,young,old,الشباب,الكبار,,,
14,ar,war,peace,الحرب,السلم,,,
15,ar,hot,cold,الساخنة,الباردة,,,
16,ar,north,south,الشمال,الجنوب,,,
17,ar,truth,lies,صدق,كذب,,,
18,ar,body,soul,الجسد,الروح,,,
19,ar,time,space,الزمان,المكان,,,
20,ar,cat,mouse,القط,الفأر,,,
21,ar,health,illness,الصحة,المرض,,,
22,ar,in,out,دخل,خرج,,,
23,ar,students,teachers,الطلاب,المعلمين,,,
24,ar,eat,drink,أكل,شرب,,,
25,ar,fruit,vegetable,فواكه,خضروات,,,
26,ar,tea,coffee,الشاي,القهوة,,,
27,ar,black,white,أسود,أبيض,,,
28,ar,mom,dad,الأم,الأب,,,
29,ar,left,right,اليسار,اليمين,,,
30,ar,friends,enemies,الأصدقاء,الأعداء,,,
31,ar,pen,paper,القلم,الورق,,,
32,ar,red,black,الأحمر,الأسود,,,
33,ar,family,friends,العائلة,الأصدقاء,,,
34,ar,song,dance,الغناء,الرقص,,,
35,ar,buy,sell,الشراء,البيع,,,
36,ar,king,queen,الملك,الملكة,,,
37,ar,sweet,sour,الحلو,الحامض,,,
38,ar,more,less,أكثر,أقل,,,
39,ar,sooner,later,عاجلاً,آجلاً,,,
40,ar,host,guest,المضيف,الضيف,,,
41,ar,hunger,thirst,الجوع,العطش,,,
42,ar,urban,rural,الحضر,الريف,,,
43,ar,life,work,الحياة,العمل,,,
44,ar,law,order,القانون,النظام,,,
45,ar,old,new,القديم,الجديد,,,
46,ar,eye,ear,العين,الأذن,,,
47,ar,major,minor,الكبرى,الصغرى,,,
48,ar,ice,fire,الجليد,النار,,,
49,ar,supply,demand,العرض,الطلب,,,
50,ar,husband,wife,الزوج,الزوجة,,,
51,ar,parents,children,الآباء,الأبناء,,,
52,ar,profit,loss,الربح,الخسارة,,,
53,ar,needle,thread,الإبرة,الخيط,,,
54,ar,virtue,vice,الفضيلة,الرذيلة,,,
55,ar,word,deed,القول,الفعل,,,
56,ar,church,state,الكنيسة,الدولة,,,
57,ar,angel,demon,الملائكة,الشياطين,,,
58,ar,win,lose,النصر,الهزيمة,,,
59,ar,thunder,lightning,الرعد,البرق,,,
60,ar,domestic,foreign,المحلي,الأجنبي,,,
61,ar,near,far,القريب,البعيد,,,
62,ar,flesh,blood,اللحم,الدم,,,
63,ar,sea,sky,البحر,السماء,,,
64,ar,cheap,expensive,الرخيص,الغالي,,,
65,ar,oil,gas,النفط,الغاز,,,
66,ar,teach,learn,التعليم,التعلم,,,
67,ar,rise,fall,الارتفاع,الانخفاض,,,
68,ar,cause,effect,السبب,النتيجة,,,
69,ar,laugh,cry,أضحك,أبكى,,,
70,ar,heaven,earth,السّماء,الأرض,,,
71,ar,right,wrong,الصواب,الخطأ,,,
72,ar,long,short,طويل,قصير,,,
73,ar,permitted,forbidden,المسموح,الممنوع,,,
74,ar,come,go,يأتي,يذهب,,,
75,ar,sweet,bitter,الحلو,المر,,,
