Binomial_ID,Language,A_en,B_en,A_zh,B_zh,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
1,zh,love,hate,爱,恨,27689,138,爱恨,,0.995,medium
2,zh,sun,moon,日,月,80758,15204,日月,,0.8416,medium
3,zh,men,women,男,女,572408,360,男女,,0.9994,strong
4,zh,wind,rain,风,雨,167592,71,风雨,,0.9996,strong
5,zh,birth,death,生,死,192553,3022,生死,,0.9845,strong
6,zh,east,west,东,西,3089573,4441,东西,,0.9986,strong
7,zh,push,pull,推,拉,10475,87,推拉,,0.9917,weak
8,zh,up,down,上,下,538094,171,上下,,0.9997,strong
9,zh,iron,steel,铁,钢,499,522623,钢铁,,0.001,strong
10,zh,day,night,日,夜,60966,40,日夜,,0.9993,medium
11,zh,fire,water,火,水,373,39033,水火,,0.0095,medium
12,zh,rich,poor,富,贫,170,55696,贫富,,0.0031,medium
13,zh,young,old,少,老,13,45072,老少,,0.0003,medium
14,zh,war,peace,战争,和平,5138,283,战争与和平,与,0.9477,weak
15,zh,hot,cold,热,冷,280,37449,冷热,,0.0074,medium
16,zh,north,south,北,南,575,258191,南北,,0.0022,strong
17,zh,truth,lies,真相,谎言,131,106,真相与谎言,与,0.5525,weak
18,zh,body,soul,身体,灵魂,2173,456,身体和灵魂,和,0.8264,weak
19,zh,time,space,时,空,235913,1891,时空,,0.992,strong
20,zh,cat,mouse,猫,老鼠,3539,207,猫和老鼠,和,0.9446,weak
21,zh,health,illness,健康,疾病,3015,1144,健康和疾病,和,0.7249,weak
22,zh,in,out,入,出,661,176029,出入,,0.0037,strong
23,zh,students,teachers,生,师,1108,602326,师生,,0.0018,strong
24,zh,eat,drink,食,饮,325,1000690,饮食,,0.0003,strong
25,zh,fruit,vegetable,水果,蔬菜,13658,17438,蔬菜和水果,和,0.4392,medium
26,zh,tea,coffee,茶,咖啡,1752,2862,咖啡和茶,和,0.3797,weak
27,zh,black,white,黑,白,190970,2582,黑白,,0.9867,strong
28,zh,mom,dad,妈,爸,136,42445,爸妈,,0.0032,medium
29,zh,left,right,左,右,3318203,214,左右,,0.9999,strong
30,zh,friends,enemies,友,敌,125,2014,敌友,,0.0586,weak
31,zh,pen,paper,笔,纸,1749,15863,纸笔,,0.0993,weak
32,zh,red,black,红,黑,4567,9303,黑红,,0.3293,weak
33,zh,family,friends,亲,友,112678,69,亲友,,0.9994,medium
34,zh,song,dance,歌,舞,132877,150,歌舞,,0.9989,medium
35,zh,buy,sell,买,卖,649124,1196,买卖,,0.9982,strong
36,zh,king,queen,国王,王后,1521,38,国王和王后,和,0.9753,weak
37,zh,sweet,sour,甜,酸,4496,18119,酸甜,,0.1988,weak
38,zh,more,less,多,少,2822504,206,多少,,0.9999,strong
39,zh,sooner,later,早,迟,184,65884,迟早,,0.0028,medium
40,zh,host,guest,主,客,8937,314,主客,,0.966,weak
41,zh,hunger,thirst,饥,渴,20839,15,饥渴,,0.9993,weak
42,zh,urban,rural,城,乡,806632,4645,城乡,,0.9943,strong
43,zh,life,work,生活,工作,41931,75537,工作和生活,和,0.357,medium
44,zh,law,order,治,安,345966,234,治安,,0.9993,strong
45,zh,old,new,老,新,141,157564,新老,,0.0009,strong
46,zh,eye,ear,目,耳,17,20999,耳目,,0.0008,weak
47,zh,major,minor,主,次,36924,58,主次,,0.9984,medium
48,zh,ice,fire,冰,火,13270,304,冰与火,与,0.9776,weak
49,zh,supply,demand,供,需,222455,51,供需,,0.9998,strong
50,zh,husband,wife,夫,妇,324115,59,夫妇,,0.9998,strong
51,zh,parents,children,亲,子,261197,38,亲子,,0.9999,strong
52,zh,profit,loss,盈,亏,73980,616,盈亏,,0.9917,medium
53,zh,needle,thread,针,线,12305,99,针线,,0.992,weak
54,zh,virtue,vice,善,恶,39324,158,善恶,,0.996,medium
55,zh,word,deed,言,行,91631,54,言行,,0.9994,medium
56,zh,church,state,教,政,68,11073,政教,,0.0061,weak
57,zh,angel,demon,天使,恶魔,1062,145,天使与恶魔,与,0.8796,weak
58,zh,win,lose,赢,输,1115,39407,输赢,,0.0275,medium
59,zh,thunder,lightning,雷,电,83050,139,雷电,,0.9983,medium
60,zh,domestic,foreign,国内,国外,6630,1591,国内和国外,和,0.8064,weak
61,zh,near,far,近,远,563,65874,远近,,0.0085,medium
62,zh,flesh,blood,肉,血,88,63467,血肉,,0.0014,medium
63,zh,sea,sky,海,天,54101,4340,海天,,0.9257,medium
64,zh,cheap,expensive,便宜,昂贵,28,20,便宜和昂贵,和,0.5816,weak
65,zh,oil,gas,油,气,142938,736,油气,,0.9949,strong
66,zh,teach,learn,教,学,4682950,2939,教学,,0.9994,strong
67,zh,rise,fall,起,落,15751,66,起落,,0.9958,weak
68,zh,cause,effect,因,果,124832,139,因果,,0.9989,medium
69,zh,laugh,cry,笑,哭,269,2876,哭笑,,0.0857,weak
70,zh,heaven,earth,天,地,609855,336,天地,,0.9994,strong
71,zh,right,wrong,是,非,163046,1704,是非,,0.9897,strong
72,zh,long,short,长,短,109494,4123,长短,,0.9637,medium
73,zh,permitted,forbidden,可,否,56184,20,可否,,0.9996,medium
74,zh,come,go,来,去,22126,2565,来去,,0.8961,weak
75,zh,sweet,bitter,甜,苦,247,644,苦与甜,与,0.2775,weak
